"SITE_ID","SITE","LONGITUDE","LATITUDE","MMM","DHWmax2016","DHWmax2017"
30001,"Albatross Bay",141.684916666667,-12.6879333333333,29.7577476501465,7.08999984152615,1.4899999666959
30002,"Brisbane",153.633083333333,-27.4945833333333,26.2500247955322,1.16999997384846,5.38999987952411
30003,"Bundaberg",152.4994,-24.6724833333333,27.1346664428711,0.159999996423721,6.16999986208975
30004,"Cairns",145.710366666667,-16.7336,28.8411140441895,3.7899999152869,11.3599997460842
30005,"Caloundra",153.155,-26.8467,26.2058506011963,0,3.45999992266297
30006,"Emu Park",151.071666666667,-23.3038,27.4764251708984,0.539999987930059,5.30999988131225
30007,"Gladstone",151.503283333333,-23.8957666666667,27.2903594970703,0.34999999217689,6.54999985359609
30008,"Gold Coast",153.441666666667,-27.9646,26.0712146759033,0,0.169999996200204
30009,"Hay Point",149.3116,-21.2722,28.2027206420898,2.51999994367361,5.40999987907708
30010,"Mackay",149.5467,-21.0373333333333,28.0867500305176,2.03999995440245,6.18999986164272
30011,"Mooloolaba",153.18215,-26.5656666666667,26.2183265686035,0,1.78999995999038
30012,"North Moreton",153.2788,-26.8985,26.2070140838623,0,3.77999991551042
30013,"Townsville",147.058733333333,-19.159,28.7225952148438,4.74999989382923,6.08999986387789
30014,"Tweed Heads",153.5765,-28.17625,26.1676292419434,0.629999985918403,0.339999992400408
